created_at,consumer,influencer
2020-06-29,1,0
2020-06-30,2,0
2020-07-02,0,1
2020-07-03,1,0
2020-07-10,1,0
2020-07-11,1,0
2020-07-12,0,1
2020-07-13,0,1
2020-07-15,1,0
2020-07-16,1,0
2020-07-17,1,2
2020-07-20,1,0
2020-07-22,3,0
2020-07-26,1,0
2020-07-27,3,0
2020-07-31,2,0
2020-08-06,1,0
2020-08-10,0,1
2020-08-11,1,0
2020-08-12,1,0
2020-08-13,1,0
2020-08-14,1,0
2020-08-16,1,0
2020-08-21,1,0
2020-08-22,1,1
2020-08-25,2,1
2020-08-26,2,0
2020-08-29,1,0
2020-08-31,1,0
2020-09-07,1,0
2020-09-11,1,0
2020-09-12,1,0
2020-09-13,1,1
2020-09-14,0,1
2020-09-16,2,0
2020-09-18,1,0
2020-09-20,1,0
2020-09-21,1,1
2020-09-22,1,0
2020-09-26,0,1
2020-09-27,1,0
2020-09-28,1,0
2020-09-29,1,0
2020-10-01,1,0
2020-10-03,1,0
2020-10-07,1,0
2020-10-09,1,0
2020-10-12,1,0
2020-10-13,1,0
2020-10-14,1,0
2020-10-15,1,0
2020-10-17,1,2
2020-10-20,1,0
2020-10-21,1,0
2020-10-28,1,0
2020-10-31,1,0
2020-11-05,2,0
2020-11-15,1,0
2020-11-16,1,0
2020-11-19,1,0
2020-11-20,4,0
2020-11-25,3,1
2020-11-30,1,0
2020-12-01,1,0
2020-12-03,1,0
2020-12-05,1,0
2020-12-06,1,0
2020-12-07,1,0
2020-12-08,3,0
2020-12-09,1,0
2020-12-10,2,0
2020-12-12,2,0
2020-12-25,0,1
2020-12-26,1,0
2020-12-28,1,0
2020-12-30,3,0
2021-01-02,1,0
2021-01-03,1,0
2021-01-07,1,0
2021-01-11,1,0
2021-01-12,1,0
2021-01-15,2,0
2021-01-16,1,0
2021-01-19,2,0
2021-01-23,1,0
2021-01-25,1,1
2021-01-26,2,0
2021-01-27,1,0
2021-01-28,3,0
2021-01-30,1,0
2021-02-04,1,0
2021-02-05,1,0
2021-02-06,1,0
2021-02-07,1,0
2021-02-09,1,0
2021-02-10,1,0
2021-02-13,1,0
2021-02-16,1,0
2021-02-17,4,0
2021-02-21,1,0
2021-02-23,0,1
2021-02-25,0,1
2021-02-28,1,0
2021-03-01,1,0
2021-03-04,1,0
2021-03-06,1,0
2021-03-08,1,1
2021-03-09,1,0
2021-03-10,1,0
2021-03-13,0,1
2021-03-14,1,0
2021-03-15,2,0
2021-03-16,2,0
2021-03-18,1,0
2021-03-20,1,0
2021-03-21,1,0
2021-03-23,3,0
2021-03-26,1,0
2021-03-27,2,0
2021-03-29,1,0
2021-04-01,1,0
2021-04-03,1,0
2021-04-05,2,0
2021-04-08,3,2
2021-04-09,1,0
2021-04-14,0,2
2021-04-15,1,0
2021-04-16,1,0
2021-04-19,4,0
2021-04-20,1,0
2021-04-21,1,0
2021-04-22,1,1
2021-04-23,1,0
2021-04-24,1,0
2021-04-25,1,0
2021-04-26,1,0
2021-04-28,2,1
2021-05-02,1,0
2021-05-03,1,1
2021-05-04,1,1
2021-05-06,0,1
2021-05-08,1,0
2021-05-10,0,1
2021-05-13,0,1
2021-05-15,2,0
2021-05-17,2,0
2021-05-18,2,0
2021-05-20,1,0
2021-05-21,1,0
2021-05-23,2,0
2021-05-26,0,1
2021-05-27,2,0
2021-05-31,1,0
2021-06-01,0,1
2021-06-03,1,0
2021-06-04,1,0
2021-06-05,1,0
2021-06-06,1,0
2021-06-09,2,0
2021-06-12,1,0
2021-06-13,0,1
2021-06-14,1,0
2021-06-16,4,0
2021-06-17,3,0
2021-06-18,1,2
2021-06-19,2,2
2021-06-21,0,1
2021-06-22,1,0
2021-06-29,2,0
2021-07-07,0,1
2021-07-09,1,0
2021-07-10,0,1
2021-07-11,1,0
2021-07-13,1,0
2021-07-14,1,1
2021-07-18,1,0
2021-07-19,1,0
2021-07-20,2,0
2021-07-21,1,0
2021-07-23,1,0
2021-07-24,0,3
2021-07-30,0,1
2021-08-01,1,0
2021-08-03,1,0
2021-08-05,1,0
2021-08-07,1,0
2021-08-10,1,1
2021-08-12,1,0
2021-08-15,0,1
2021-08-16,1,0
2021-08-17,1,0
2021-08-18,2,2
2021-08-20,1,0
2021-08-21,0,1
2021-08-23,0,1
2021-08-25,2,0
2021-08-26,0,1
2021-08-27,1,0
2021-08-29,0,1
2021-08-30,3,0
2021-09-01,0,2
2021-09-06,3,0
2021-09-08,1,0
2021-09-10,0,1
2021-09-13,1,0
2021-09-14,1,0
