"created_at","content","user_type","count"
2020-06-29,"Chess Events and Tournaments","consumer",1
2020-06-29,"Political and Social Issues in Chess","consumer",1
2020-06-30,"Chess Events and Tournaments","consumer",2
2020-07-01,"Chess Literature and Media","consumer",1
2020-07-01,"Social Media Impact on Chess","consumer",1
2020-07-02,"Chess Training and Improvement","influencer",1
2020-07-02,"Social Media Impact on Chess","consumer",2
2020-07-02,"Tournament Results and Standings","consumer",1
2020-07-03,"Chess Literature and Media","consumer",1
2020-07-03,"Chess Training and Improvement","consumer",1
2020-07-03,"Health and Wellness in Chess","consumer",1
2020-07-03,"Social Media Impact on Chess","consumer",1
2020-07-04,"Chess Legends and Personalities","consumer",1
2020-07-04,"Social Media Impact on Chess","consumer",1
2020-07-06,"Chess Legends and Personalities","consumer",1
2020-07-06,"Chess Literature and Media","consumer",1
2020-07-06,"Player Performances and Strategies","influencer",1
2020-07-06,"Social Media Impact on Chess","consumer",1
2020-07-06,"Tournament Results and Standings","influencer",1
2020-07-07,"Political and Social Issues in Chess","consumer",1
2020-07-08,"Online Chess Competitions","consumer",1
2020-07-09,"Chess Literature and Media","consumer",1
2020-07-10,"Chess Events and Tournaments","consumer",1
2020-07-11,"Chess Events and Tournaments","consumer",1
2020-07-11,"Social Media Impact on Chess","consumer",2
2020-07-12,"Chess Training and Improvement","influencer",1
2020-07-12,"Online Chess Competitions","consumer",1
2020-07-13,"Chess Personalities","influencer",1
2020-07-13,"Chess Training and Improvement","influencer",1
2020-07-13,"Social Media Impact on Chess","consumer",1
2020-07-14,"Chess Legends and Personalities","consumer",1
2020-07-14,"Social Media Impact on Chess","consumer",1
2020-07-15,"Chess Events and Tournaments","consumer",1
2020-07-15,"Chess Legends and Personalities","consumer",1
2020-07-16,"Chess Events and Tournaments","consumer",1
2020-07-17,"Chess Events and Tournaments","consumer",1
2020-07-17,"Chess Events and Tournaments","influencer",2
2020-07-17,"Chess Legends and Personalities","influencer",1
2020-07-17,"Online Chess Competitions","consumer",1
2020-07-17,"Social Media Impact on Chess","consumer",2
2020-07-18,"Chess Literature and Media","consumer",3
2020-07-20,"Chess Events and Tournaments","consumer",1
2020-07-21,"Chess Legends and Personalities","consumer",1
2020-07-21,"Health and Wellness in Chess","consumer",1
2020-07-22,"Chess Training and Improvement","consumer",3
2020-07-22,"Online Chess Competitions","consumer",1
2020-07-23,"Player Performances and Strategies","consumer",1
2020-07-23,"Social Media Impact on Chess","consumer",2
2020-07-24,"Chess Legends and Personalities","consumer",1
2020-07-24,"Online Chess Competitions","consumer",1
2020-07-25,"Chess Literature and Media","consumer",1
2020-07-25,"Tournament Results and Standings","consumer",1
2020-07-26,"Chess Events and Tournaments","consumer",1
2020-07-27,"Chess Events and Tournaments","consumer",2
2020-07-27,"Chess Training and Improvement","consumer",1
2020-07-27,"Online Chess Competitions","consumer",1
2020-07-27,"Social Media Impact on Chess","consumer",1
2020-07-27,"Tournament Results and Standings","consumer",1
2020-07-28,"Chess Legends and Personalities","consumer",1
2020-07-28,"Tournament Results and Standings","consumer",1
2020-07-29,"Chess Literature and Media","consumer",2
2020-07-30,"Chess Legends and Personalities","consumer",1
2020-07-30,"Chess Legends and Personalities","influencer",1
2020-07-30,"Social Media Impact on Chess","consumer",2
2020-07-31,"Chess Events and Tournaments","consumer",1
2020-07-31,"Chess Training and Improvement","consumer",1
2020-07-31,"Player Performances and Strategies","consumer",1
2020-07-31,"Social Media Impact on Chess","consumer",1
2020-08-01,"Chess Legends and Personalities","consumer",1
2020-08-02,"Chess Legends and Personalities","consumer",1
2020-08-02,"Player Performances and Strategies","consumer",1
2020-08-02,"Social Media Impact on Chess","influencer",1
2020-08-03,"Chess Literature and Media","consumer",1
2020-08-04,"Chess Legends and Personalities","consumer",2
2020-08-04,"Political and Social Issues in Chess","consumer",1
2020-08-05,"Chess Legends and Personalities","consumer",1
2020-08-05,"Social Media Impact on Chess","consumer",2
2020-08-05,"Social Media Impact on Chess","influencer",1
2020-08-06,"Chess Events and Tournaments","consumer",1
2020-08-06,"Chess Literature and Media","consumer",2
2020-08-06,"Social Media Impact on Chess","consumer",2
2020-08-07,"Player Performances and Strategies","consumer",1
2020-08-10,"Chess Literature and Media","consumer",1
2020-08-10,"Chess Training and Improvement","influencer",1
2020-08-10,"Social Media Impact on Chess","consumer",1
2020-08-11,"Chess Events and Tournaments","consumer",1
2020-08-11,"Player Performances and Strategies","influencer",1
2020-08-11,"Social Media Impact on Chess","consumer",1
2020-08-12,"Chess Events and Tournaments","consumer",1
2020-08-12,"Online Chess Competitions","consumer",1
2020-08-12,"Player Performances and Strategies","influencer",1
2020-08-12,"Political and Social Issues in Chess","consumer",1
2020-08-12,"Social Media Impact on Chess","consumer",1
2020-08-13,"Chess Events and Tournaments","consumer",1
2020-08-13,"Chess Literature and Media","consumer",1
2020-08-14,"Chess Events and Tournaments","consumer",1
2020-08-14,"Social Media Impact on Chess","consumer",1
2020-08-15,"Online Chess Competitions","consumer",1
2020-08-16,"Chess Legends and Personalities","consumer",1
